scenario,location,fo_pct,so_pct
Tariff Shock,HRV,-2.183017513617515e-05,-3.568671626229102e-05
Tariff Shock,HUN,-1.1602647830607886e-05,-1.4530339736013917e-05
Tariff Shock,IDN,-8.712721108441745e-06,-1.1574143529802706e-05
Tariff Shock,IND,-2.5703364068923874e-05,-5.315348714156057e-05
Tariff Shock,IRL,-1.883588513865513e-05,-2.6835305653686433e-05
Tariff Shock,ISL,-2.5226904790269785e-05,-4.188896179785737e-05
Tariff Shock,ISR,-2.0589892247677335e-05,-3.079732351635105e-05
Tariff Shock,ITA,-1.2431547752814748e-05,-2.3243049955482467e-05
Tariff Shock,JOR,-1.7763468289995857e-05,-2.578784217301677e-05
Tariff Shock,JPN,-1.4578528313113213e-05,-2.891633579552326e-05
Tariff Shock,KAZ,-2.2552843514687623e-06,-2.5673100259500807e-06
Tariff Shock,KHM,-1.1819099113003074e-05,-1.4494190734935615e-05
Tariff Shock,KOR,-3.5355817381427804e-05,-8.154076222487017e-05
Tariff Shock,LAO,-9.38596656848544e-06,-1.1379032612648478e-05
Tariff Shock,LTU,-1.693765958598262e-05,-2.312990526685038e-05
Tariff Shock,LUX,-8.45894045600186e-06,-1.0031143485819258e-05
Tariff Shock,LVA,-7.481847969599738e-06,-8.712578930425567e-06
Tariff Shock,MAR,-1.8416485479972647e-05,-2.867553917585746e-05
Tariff Shock,MEX,-0.00022067409144921495,-0.0011888057063251672
Tariff Shock,MLT,-1.1393756208804425e-05,-1.3923252957304455e-05
Tariff Shock,MMR,-4.861050975761877e-06,-5.396774660620428e-06
Tariff Shock,MYS,-4.3357615762814265e-05,-8.056666281645142e-05
Tariff Shock,NGA,-4.726299308811677e-06,-5.552408416604933e-06
Tariff Shock,NLD,-2.2963680379550246e-05,-3.818207671910893e-05
Tariff Shock,NOR,-2.550872398293823e-05,-4.048639349014295e-05
Tariff Shock,NZL,-1.2361145654771937e-05,-1.649299313430641e-05
Tariff Shock,PAK,-3.397174062986482e-05,-7.433285075763916e-05
Tariff Shock,PER,-5.723023408198345e-05,-0.0001377326906162867
Tariff Shock,PHL,-1.0789943184656887e-05,-1.3306822206918377e-05
Tariff Shock,POL,-1.2988996780372541e-05,-1.8858495653592756e-05
Tariff Shock,PRT,-1.7604846644169875e-05,-2.719249318560906e-05
Tariff Shock,ROU,-6.842679624526095e-06,-8.227450558619225e-06
Tariff Shock,RUS,-9.259012680586552e-06,-1.5583475239402007e-05
Tariff Shock,SAU,-2.2679307590960116e-05,-3.520432046801179e-05
Tariff Shock,SEN,-7.679259432431157e-06,-9.0604265964148e-06
Tariff Shock,SGP,-3.0199194306030264e-05,-5.4838857433209577e-05
Tariff Shock,STP,-2.1942823766071684e-05,-3.052189810866493e-05
Tariff Shock,SVK,-9.543869667442203e-06,-1.1828306439284088e-05
Tariff Shock,SVN,-9.571616599323661e-06,-1.1656522566236129e-05
Tariff Shock,SWE,-1.184300075055497e-05,-1.6784977347292117e-05
Tariff Shock,THA,-2.4667139609491983e-05,-3.8664618821150614e-05
Tariff Shock,TUN,-1.617693346561098e-05,-2.144391900163267e-05
Tariff Shock,TUR,-2.597038323530712e-05,-5.140216114413244e-05
Tariff Shock,TWN,-5.400658767540268e-05,-0.00013204670758965479
Tariff Shock,UKR,-1.7469251142498096e-05,-2.521723106219283e-05
Tariff Shock,USA,-0.0020698996312345456,-0.26323151574300424
Tariff Shock,VNM,-5.638067267151067e-05,-0.0001132126135567743
Tariff Shock,ZAF,-1.6975946839499365e-05,-2.412288251141786e-05
Tariff Shock,ROW,-2.7338061202758825e-05,-5.678061287187173e-05
Sanction Shock,Global,0.029398287742800896,-1.4435936845680255
Sanction Shock,AGO,3.1547453670000134e-05,7.78025457748233e-06
Sanction Shock,ARE,0.00021701935037155706,-0.0004626227620164574
Sanction Shock,ARG,5.742968919885269e-05,-1.1940931044333289e-05
Sanction Shock,AUS,5.307308863083502e-05,-2.5627179355963726e-05
Sanction Shock,AUT,0.0009760352487901147,-0.01353595797267828
Sanction Shock,BEL,0.0006307016119048101,-0.006219886156964493
Sanction Shock,BGD,2.666641837652002e-05,9.751495946643096e-06
Sanction Shock,BGR,0.00034162264505279767,-0.0013735600195706927
Sanction Shock,BLR,0.0001570857037122572,-0.00024163166809219907
Sanction Shock,BRA,8.874122365322625e-05,-0.0001416247629635991
Sanction Shock,BRN,6.898205753264065e-05,-2.1525972194503654e-06
Sanction Shock,CAN,9.71513878559808e-05,-0.0002441361272285018
Sanction Shock,CHE,0.0005805576398126256,-0.005053778492136089
Sanction Shock,CHL,7.722972903178114e-05,-3.129823121230242e-05
Sanction Shock,CHN,6.012485999705928e-05,-0.0008841457437114793
Sanction Shock,CIV,6.198307222204981e-05,-1.857431744816552e-05
Sanction Shock,CMR,7.833668012646214e-05,-0.00012032809674927496
Sanction Shock,COD,0.00011789991299419886,-7.428179742608193e-05
Sanction Shock,COL,7.145030720628819e-05,-3.02079527049101e-05
Sanction Shock,CRI,8.366838219943052e-05,-4.3083365835154766e-05
Sanction Shock,CYP,0.0002809613234853659,-0.0008412530585852057
Sanction Shock,CZE,0.0009998974857006503,-0.01256097388986814
Sanction Shock,DEU,0.010831352736575152,-1.3205880376555819
Sanction Shock,DNK,0.0006039772954088067,-0.00496159628641802
Sanction Shock,EGY,9.19683023381567e-05,-0.00013609366400637316
Sanction Shock,ESP,0.00024008435923549102,-0.0015544780354213707
Sanction Shock,EST,0.00042491416841714544,-0.0018223971184681668
Sanction Shock,FIN,0.00037405466569067204,-0.0024288429100409784
Sanction Shock,FRA,0.0004029670323128659,-0.004268685869526944
Sanction Shock,GBR,0.00016569662405308217,-0.0009093162743075264
Sanction Shock,GRC,0.0002612128069388162,-0.0009429510597996529
Sanction Shock,HKG,9.475988971192588e-05,-8.128684355876935e-05
Sanction Shock,HRV,0.0005264891901680461,-0.003265248621772614
Sanction Shock,HUN,0.0007944844707097276,-0.007519287257560643
Sanction Shock,IDN,3.469378571569965e-05,-9.580714579507831e-06
Sanction Shock,IND,7.666057198916728e-05,-0.00015980438323013208
Sanction Shock,IRL,0.0001706957836789551,-0.0005209640304752995
Sanction Shock,ISL,0.0002540639668471731,-0.0007166835237022111
Sanction Shock,ISR,0.000184104147844023,-0.00042533962284389403
Sanction Shock,ITA,0.0003422595583406246,-0.004925680611045754
Sanction Shock,JOR,0.00022740905994570577,-0.00075210301226066
Sanction Shock,JPN,4.936285980578947e-05,-0.00014162702598972295
Sanction Shock,KAZ,4.4128968739532014e-05,-5.5182947476233126e-05
Sanction Shock,KHM,5.505380620875708e-05,9.218436053583994e-06
Sanction Shock,KOR,9.049099712569025e-05,-0.00026428651838455845
Sanction Shock,LAO,0.00010738523472640738,-0.00019088928540277728
Sanction Shock,LTU,0.0003735570090039198,-0.0016072797158421428
Sanction Shock,LUX,0.0007121430690045045,-0.005713179877130142
Sanction Shock,LVA,0.0004181187585600661,-0.0021929816605649032
Sanction Shock,MAR,0.00014220824852059026,-0.0002886161047370683
Sanction Shock,MEX,9.149280012578424e-05,-8.839024881746651e-05
Sanction Shock,MLT,0.00033943715570158763,-0.0012057129445441036
