Country,GDP (USD)
Seychelles,2018346588.73752
Sierra Leone,7124465159.65304
Singapore,509017841146.557
Sint Maarten (Dutch part),1537088715.0838
Slovak Republic,115884262197.697
Slovenia,59927702746.2843
Solomon Islands,1566360686.10632
Somalia,10202767269.9992
South Africa,406920004594.074
South Sudan,
Spain,1446498147749.03
Sri Lanka,74143020262.8076
St. Kitts and Nevis,980188888.888889
St. Lucia,2342714814.81481
St. Martin (French part),
St. Vincent and the Grenadines,989188888.888889
Sudan,51666875363.0963
Suriname,3791603200.0259
Sweden,579895717343.956
Switzerland,828508926958.393
Syrian Arab Republic,23622827079.5047
Tajikistan,10713525200.3998
Tanzania,75769974505.0106
Thailand,495644697587.661
Timor-Leste,3208593982.01071
Togo,8169476148.95692
Tonga,518180029.413435
Trinidad and Tobago,28510328245.1372
Tunisia,44948769171.285
Turkiye,907118434653.505
Turkmenistan,58972000000
Turks and Caicos Islands,1434119000
Tuvalu,59065982.0873657
Uganda,45565333216.4142
Ukraine,161989520721.19
United Arab Emirates,502731935194.01
United Kingdom,3114042471144.39
United States,26006893000000
Uruguay,70594110920.0358
Uzbekistan,90095926567.4359
Vanuatu,1030654208.30053
"Venezuela, RB",
Viet Nam,413445230668.578
Virgin Islands (U.S.),4672000000
West Bank and Gaza,19165500000
"Yemen, Rep.",
Zambia,29163782140.4858
Zimbabwe,32789657377.9788
